Time_Period,Total_Records,Total_18922G,GDSTATHI_2K2.1_No2A_Count,GDSTATHI_2K2.1_No2A_Avg_TOTPRISN,GDLINEHI_2A_ACCAP_Not1_Count,GDLINEHI_2A_ACCAP_Not1_Avg_TOTPRISN
2002-2021,30300,1143,1110,37.76,16,66.75
2022-2024,3493,331,265,35.32,63,79.71
