District,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Kentucky East,31.0,28.75,26.03,27.67,32.38,29.84,31.83,41.67,54.16,52.34,50.55,64.14,60.83,56.22,82.05,60.84,65.69,55.29,59.28,59.28,43.91,57.48,72.12
Kentucky West,42.79,23.0,30.87,34.64,42.12,30.67,34.8,56.05,49.91,42.73,56.17,46.4,49.67,33.11,41.76,51.55,54.33,34.4,41.34,43.3,38.91,48.65,44.0
Louisiana East,229.06,47.44,38.41,344.0,42.24,37.18,43.35,52.68,43.22,45.16,41.19,42.89,28.92,21.22,35.23,28.21,50.53,40.08,43.93,56.88,63.36,52.22,51.7
Louisiana Middle,53.38,41.4,63.81,69.35,51.18,61.46,51.96,64.96,46.47,47.95,38.59,45.74,49.55,64.06,70.44,45.04,45.78,47.0,52.34,45.85,55.79,46.82,51.44
Louisiana West,27.75,62.0,49.62,46.33,53.6,45.3,56.69,62.16,58.52,51.08,44.75,38.46,64.15,65.83,81.11,40.75,42.22,57.74,59.91,64.09,60.69,54.69,60.96
Maine,20.54,17.32,25.11,34.3,34.45,24.24,36.63,24.41,22.67,26.7,44.5,25.0,49.8,43.12,45.85,37.53,55.69,39.25,37.5,30.33,19.54,33.44,31.38
Maryland,46.45,49.59,61.47,68.73,229.68,250.23,82.78,103.92,82.24,82.94,69.98,73.82,66.86,56.11,49.93,42.21,44.63,56.15,41.23,42.79,42.87,36.29,42.03
Massachusetts,48.81,65.04,82.04,66.46,83.5,75.42,83.41,78.1,93.59,69.76,75.45,77.53,63.93,63.4,61.15,42.37,51.53,37.04,31.78,39.68,38.26,51.35,39.88
Michigan East,38.0,143.08,50.31,231.49,37.23,48.95,67.79,42.36,57.82,47.78,43.98,43.79,46.26,41.91,36.74,36.58,39.13,33.23,37.23,40.72,36.25,39.22,36.37
Michigan West,58.81,55.65,321.08,60.3,58.06,62.31,67.08,56.93,50.46,51.51,67.82,61.15,60.63,63.27,50.69,53.97,58.6,66.86,46.46,52.61,60.19,67.42,61.6
Minnesota,52.7,60.17,57.94,45.67,60.4,61.74,59.21,52.53,62.78,55.09,59.75,71.57,75.87,74.54,71.67,65.33,66.74,71.6,74.73,56.77,65.58,64.68,61.34
Mississippi North,40.5,32.6,33.73,48.35,38.47,29.46,32.25,30.4,36.91,33.25,27.09,44.96,45.82,46.45,26.38,22.25,38.89,28.44,35.28,54.57,29.47,45.1,41.24
Mississippi South,44.88,41.75,48.34,41.15,46.26,50.84,47.67,60.72,48.91,55.73,58.05,53.67,49.06,43.64,50.81,64.44,65.67,48.99,44.15,47.37,53.05,58.03,47.03
Missouri East,36.76,47.94,49.8,39.55,40.04,54.39,53.12,47.66,49.99,43.88,54.3,51.41,49.84,45.77,43.21,39.16,37.77,33.31,35.45,38.83,39.66,41.7,47.34
Missouri West,48.41,48.28,47.72,43.03,37.49,43.52,41.19,47.55,51.24,43.27,51.31,55.75,47.06,46.38,43.56,51.2,55.46,55.3,49.29,50.23,56.44,57.62,61.71
Montana,30.79,51.95,34.88,39.3,42.3,29.29,38.95,45.64,38.27,43.67,44.76,42.55,52.36,41.35,38.68,27.36,34.91,26.41,33.1,22.34,26.47,27.9,30.57
N Carolina East,59.45,63.31,77.25,67.49,70.87,70.04,75.27,88.76,79.69,78.25,80.85,64.59,72.16,69.98,51.69,53.39,59.68,50.89,44.28,49.16,46.72,53.12,56.8
N Carolina Mid,58.92,51.3,63.87,56.61,52.59,59.68,68.15,55.14,58.84,55.81,54.33,60.93,56.9,52.17,45.13,47.73,50.1,59.93,47.87,53.21,56.62,58.91,64.0
N Carolina West,53.5,492.91,42.92,42.17,54.76,50.5,51.13,52.42,57.39,45.6,53.85,45.66,50.77,52.75,40.47,46.43,38.84,41.57,52.2,45.16,52.82,43.85,43.24
N Mariana Islands,15.0,0,0,0,0,0,24.0,0,18.0,0,0,24.0,57.0,0,0.0,21.0,0,0,0,0,0,0.0,0
Nebraska,34.21,34.48,30.61,37.58,32.92,37.78,35.54,34.81,35.53,35.93,38.94,35.29,36.3,36.97,29.21,25.4,37.48,52.36,38.92,53.2,32.8,43.34,41.93
Nevada,41.64,43.06,53.02,47.12,38.69,55.52,49.69,45.22,48.36,39.85,50.3,43.41,49.86,186.9,40.14,43.96,39.59,33.33,19.32,20.38,27.47,34.72,34.0
New Hampshire,48.25,21.82,26.94,24.92,45.2,36.53,36.88,32.57,28.67,21.18,22.62,12.25,13.8,28.0,36.17,39.5,50.3,29.0,27.82,33.1,37.14,28.88,51.5
New Jersey,57.82,61.39,69.25,59.53,59.79,62.09,62.07,56.65,65.37,60.81,57.39,64.06,57.25,66.0,63.98,67.98,65.57,54.33,45.01,40.0,48.34,40.17,37.62
New Mexico,42.06,36.68,46.37,237.35,39.06,48.47,57.42,64.45,47.61,47.45,49.22,44.33,46.76,51.21,43.79,41.74,43.23,60.62,37.36,136.62,36.56,40.71,45.92
New York East,36.76,43.13,41.87,43.45,51.29,52.63,49.81,36.0,47.83,41.33,46.87,50.88,34.0,41.13,28.25,43.34,45.13,36.97,28.84,26.57,27.09,31.07,38.2
New York North,47.0,30.62,38.88,22.12,30.09,22.12,38.31,26.64,31.4,19.48,36.17,46.69,34.0,34.62,28.7,42.88,23.54,47.0,58.89,40.6,31.67,39.64,41.59
New York South,45.49,36.46,41.12,39.24,38.22,36.94,35.47,40.19,35.97,33.45,40.45,36.96,37.22,36.72,40.21,40.63,32.64,31.66,37.52,34.62,36.62,31.76,37.77
New York West,38.07,35.16,40.22,38.11,36.54,37.53,44.88,27.12,36.78,24.09,43.9,49.44,40.61,29.36,35.27,27.23,41.76,33.13,31.45,49.13,39.59,42.23,40.14
North Dakota,33.0,38.29,47.75,36.5,24.31,26.08,31.7,31.53,38.08,36.18,32.21,36.77,49.88,50.32,37.29,37.42,38.11,36.09,67.0,66.67,59.24,36.1,50.27
Ohio North,253.96,42.57,164.12,43.96,47.54,49.18,49.59,59.22,57.28,47.94,52.26,46.6,56.68,65.16,52.14,59.95,51.25,45.93,42.34,40.01,42.59,43.22,45.5
Ohio South,26.73,44.06,48.97,48.74,45.35,52.95,45.17,40.97,43.53,48.91,45.87,41.08,48.31,37.76,46.02,32.48,31.59,35.77,33.52,28.9,33.83,32.17,25.96
Oklahoma East,46.2,42.83,73.09,53.43,42.82,47.12,44.33,70.15,49.31,80.85,35.15,46.36,28.4,80.36,52.82,79.07,37.43,54.32,41.31,68.7,30.0,32.33,37.79
Oklahoma North,64.92,46.96,44.87,44.62,49.19,47.84,48.0,39.33,34.61,30.48,42.79,53.52,38.6,35.25,33.88,29.33,26.43,26.5,26.97,30.21,31.4,29.8,38.94
Oklahoma West,50.1,51.65,61.32,90.33,79.5,89.39,67.54,73.0,63.9,59.22,53.9,62.69,58.85,69.75,50.4,49.38,48.5,62.14,55.54,63.54,69.54,60.56,61.25
Oregon,43.51,37.25,52.08,36.01,49.93,54.1,54.39,47.34,37.61,38.53,36.93,38.02,34.02,43.5,229.19,41.02,28.03,30.52,23.15,31.66,32.6,30.02,32.8
Penn. East,47.28,56.65,62.98,51.43,51.73,53.35,51.95,63.05,65.27,52.41,67.09,45.97,57.19,51.0,38.35,47.17,41.0,49.04,49.55,48.2,54.1,51.17,46.61
Penn. Mid,45.0,60.29,56.77,61.8,58.54,67.56,49.44,41.54,47.0,54.29,62.4,57.4,65.75,45.14,55.5,68.08,72.72,68.89,41.93,18.75,35.89,48.32,62.2
Penn. West,37.62,65.33,63.45,62.9,49.0,59.02,63.66,66.12,51.21,49.67,52.9,68.52,60.8,37.57,77.9,34.91,39.52,35.71,28.67,35.89,31.31,37.17,38.33
Puerto Rico,39.0,36.0,52.0,47.22,37.9,33.53,31.88,26.5,28.5,33.36,35.25,38.1,33.2,33.34,33.3,32.92,33.36,34.34,27.04,26.47,39.87,36.55,39.96
Rhode Island,38.62,60.94,58.55,63.92,36.08,45.15,33.0,31.14,37.95,65.74,45.3,48.0,54.6,12.0,38.0,23.4,13.0,16.67,9.0,53.0,43.4,29.25,24.8
South Carolina,49.84,50.02,54.48,45.46,50.0,55.97,49.18,47.34,53.96,46.73,50.79,40.54,47.75,47.63,54.06,52.28,116.81,52.39,34.93,48.6,66.93,59.4,54.48
South Dakota,22.45,19.62,24.5,39.18,35.53,35.19,19.45,24.05,30.06,28.93,16.43,23.38,14.71,22.5,35.27,26.22,28.83,31.93,26.48,32.14,34.14,33.94,34.35
Tennessee East,52.47,68.23,54.82,51.58,63.55,56.44,57.54,50.89,58.85,55.82,54.55,63.16,52.92,49.1,52.83,55.45,44.4,47.39,40.65,51.43,46.49,54.57,57.13
Tennessee Mid,48.0,40.74,65.26,64.76,62.18,64.37,70.61,58.52,65.85,65.07,64.69,62.2,55.32,59.25,57.76,53.52,50.18,40.77,53.82,35.95,42.05,44.44,46.35
Tennessee West,70.95,67.06,76.36,62.12,175.14,83.43,78.1,64.08,64.15,66.62,56.65,62.86,62.7,55.39,55.75,56.89,49.22,47.24,48.71,48.48,51.14,63.57,52.8
Texas East,50.53,48.64,51.93,50.78,53.79,49.74,62.68,61.85,55.7,53.12,49.76,46.98,54.94,57.58,49.83,50.87,55.92,44.38,45.08,42.83,52.53,44.73,45.88
Texas North,57.36,51.81,60.94,58.02,63.1,58.73,57.79,51.76,63.69,66.78,59.23,60.75,60.77,60.91,56.64,53.24,59.43,57.53,51.17,58.37,53.92,59.43,59.51
Texas South,49.88,48.77,47.6,44.39,38.14,34.08,43.88,45.33,43.84,40.48,42.95,42.1,42.02,36.05,35.32,37.49,37.61,41.45,34.26,33.72,38.02,38.77,36.28
Texas West,46.4,44.27,53.41,42.16,46.17,41.48,42.73,39.29,47.57,46.96,52.17,50.68,48.9,39.72,45.92,37.15,34.95,38.62,40.99,43.28,39.19,46.43,47.84
Utah,29.51,28.58,31.17,30.89,34.54,33.72,36.81,30.25,29.16,34.09,34.94,40.48,32.69,36.58,31.78,35.92,30.88,109.24,23.89,23.4,28.43,26.17,28.95
Vermont,29.23,33.5,44.35,38.29,38.27,659.25,27.0,30.0,19.3,12.38,21.42,35.21,30.11,16.57,8.8,9.75,14.67,41.0,30.07,6.64,23.94,25.11,32.33
Virgin Islands,36.0,80.5,11.5,37.5,60.0,12.0,42.86,43.7,36.33,41.86,35.57,40.0,30.67,35.5,53.29,18.56,52.25,17.0,34.0,58.75,47.0,6.0,0
Virginia East,46.92,33.81,45.07,43.35,39.98,49.51,54.31,52.5,56.99,55.4,59.72,67.27,67.49,76.97,52.33,55.13,57.41,52.11,45.21,52.0,53.64,51.82,42.59
Virginia West,38.22,39.94,38.12,48.55,35.74,34.08,48.29,50.12,49.23,45.92,40.1,82.6,30.5,4.0,48.57,53.92,25.88,30.67,29.4,35.75,38.71,43.27,54.17
W Virginia North,34.9,53.59,45.52,43.47,44.52,24.27,38.42,46.56,36.46,42.8,44.67,42.41,40.78,39.88,44.32,36.95,42.92,39.52,39.96,47.37,41.6,40.19,35.17
W Virginia South,63.5,46.2,68.94,45.03,45.2,76.22,53.32,35.42,32.67,37.69,33.55,39.22,47.5,49.24,36.12,41.85,45.13,39.43,42.07,50.47,32.21,41.7,36.65
Washington East,56.25,35.75,52.34,46.78,41.1,54.02,60.68,56.85,50.61,40.71,45.09,56.98,46.78,46.0,33.13,41.43,32.54,24.82,28.45,24.5,21.88,31.08,33.08
Washington West,32.33,50.09,50.89,51.71,46.25,37.81,42.36,54.33,48.62,42.92,47.45,38.05,38.09,36.71,42.69,30.81,26.56,34.22,26.85,26.05,25.46,32.44,30.93
Wisconsin East,51.68,54.45,68.26,35.92,51.64,50.0,48.55,44.29,199.86,41.33,31.37,34.39,40.56,41.0,41.22,21.78,29.29,27.12,25.3,18.52,26.37,31.18,36.07
Wisconsin West,50.9,72.92,54.0,75.24,59.1,51.0,65.2,60.82,62.82,22.89,55.33,54.11,30.43,62.29,37.88,30.75,47.29,46.67,35.0,44.56,36.45,44.2,54.0
Wyoming,42.67,40.0,33.22,27.52,28.55,24.57,43.23,29.18,39.73,34.74,40.25,44.4,30.81,34.18,39.31,36.48,46.73,40.11,35.06,41.29,36.72,39.15,43.04
